Compensation_Grade|Critical_Job_Flag|Difficult_to_Fill_Flag|Inactive_Flag|Job_Category_Code|Job_Category_Name|Job_Exempt_Canada|Job_Exempt_US|Job_Family|Job_Family_Group|Job_Family_Group_Name|Job_Family_Name|Job_Level_Code|Job_Level_Name|Job_Profile_Code|Job_Profile_Description|Job_Profile_ID|Job_Profile_Name|Job_Profile_Summary|Job_Profile_WID|Job_Title|Management_Level_Code|Management_Level_Name|Pay_Rate_Type|Public_Job|Work_Shift_Required|JOB_MATRIX|IS_PEOPLE_MANAGER|IS_MANAGER|FREQUENCY
00|Y|Y|False|CAT1|Manager|Exempt|Exempt|FIN|JFG_FIN|Job Family Group FIN|Family FIN|IC1|Level IC1|JPC0001|This is the job description for Quality Assurance. Responsible for key duties and responsibilities.|JP00001|Quality Assurance|Summary: Quality Assurance position|WID00000001|Quality Assurance|MLI|Individual Contributor|Hourly|True|True|MATRIX_FIN_IC1|False|False|Biweekly
00|Y|Y|False|CAT2|Executive|Non-Exempt|Exempt|FIN|JFG_FIN|Job Family Group FIN|Family FIN|IC4|Level IC4|JPC0002|This is the job description for Product Manager. Responsible for key duties and responsibilities.|JP00002|Product Manager|Summary: Product Manager position|WID00000002|Product Manager|MLI|Individual Contributor|Hourly|False|True|MATRIX_FIN_IC4|False|False|Biweekly
00|N|Y|False|CAT3|Individual Contributor|Non-Exempt|Exempt|HR|JFG_HR|Job Family Group HR|Family HR|M2|Level M2|JPC0003|This is the job description for Accountant. Responsible for key duties and responsibilities.|JP00003|Accountant|Summary: Accountant position|WID00000003|Accountant|MLM|Manager|Hourly|False|False|MATRIX_HR_M2|False|True|Biweekly
00|Y|N|False|CAT4|Executive|Non-Exempt|Exempt|ENG|JFG_ENG|Job Family Group ENG|Family ENG|M3|Level M3|JPC0004|This is the job description for Sales Executive. Responsible for key duties and responsibilities.|JP00004|Sales Executive|Summary: Sales Executive position|WID00000004|Sales Executive|MLM|Manager|Salary|True|True|MATRIX_ENG_M3|False|True|Biweekly
00|Y|N|False|CAT5|Senior Manager|Non-Exempt|Non-Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|IC2|Level IC2|JPC0005|This is the job description for Network Engineer. Responsible for key duties and responsibilities.|JP00005|Network Engineer|Summary: Network Engineer position|WID00000005|Network Engineer|MLI|Individual Contributor|Salary|False|False|MATRIX_OPS_IC2|False|False|Biweekly
00|Y|Y|False|CAT1|Executive|Exempt|Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|IC5|Level IC5|JPC0006|This is the job description for Quality Assurance. Responsible for key duties and responsibilities.|JP00006|Quality Assurance|Summary: Quality Assurance position|WID00000006|Quality Assurance|MLI|Individual Contributor|Hourly|False|False|MATRIX_SAL_IC5|False|False|Biweekly
00|Y|Y|False|CAT2|Senior Manager|Non-Exempt|Non-Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|M1|Level M1|JPC0007|This is the job description for Network Engineer. Responsible for key duties and responsibilities.|JP00007|Network Engineer|Summary: Network Engineer position|WID00000007|Network Engineer|MLM|Manager|Salary|True|False|MATRIX_SAL_M1|True|True|Biweekly
00|N|Y|False|CAT3|Senior Manager|Exempt|Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|M3|Level M3|JPC0008|This is the job description for Finance Manager. Responsible for key duties and responsibilities.|JP00008|Finance Manager|Summary: Finance Manager position|WID00000008|Finance Manager|MLM|Manager|Hourly|False|False|MATRIX_SAL_M3|True|True|Biweekly
00|N|Y|False|CAT4|Individual Contributor|Exempt|Exempt|MKTG|JFG_MKTG|Job Family Group MKTG|Family MKTG|IC4|Level IC4|JPC0009|This is the job description for Project Manager. Responsible for key duties and responsibilities.|JP00009|Project Manager|Summary: Project Manager position|WID00000009|Project Manager|MLI|Individual Contributor|Salary|False|True|MATRIX_MKTG_IC4|False|False|Biweekly
00|N|Y|False|CAT5|Individual Contributor|Non-Exempt|Non-Exempt|LEGAL|JFG_LEGAL|Job Family Group LEGAL|Family LEGAL|M2|Level M2|JPC0010|This is the job description for Marketing Manager. Responsible for key duties and responsibilities.|JP00010|Marketing Manager|Summary: Marketing Manager position|WID00000010|Marketing Manager|MLM|Manager|Salary|False|False|MATRIX_LEGAL_M2|True|True|Biweekly
00|N|Y|False|CAT1|Executive|Exempt|Non-Exempt|HR|JFG_HR|Job Family Group HR|Family HR|M3|Level M3|JPC0011|This is the job description for Software Engineer. Responsible for key duties and responsibilities.|JP00011|Software Engineer|Summary: Software Engineer position|WID00000011|Software Engineer|MLM|Manager|Salary|True|False|MATRIX_HR_M3|True|True|Biweekly
00|N|N|False|CAT2|Individual Contributor|Exempt|Non-Exempt|HR|JFG_HR|Job Family Group HR|Family HR|M4|Level M4|JPC0012|This is the job description for System Administrator. Responsible for key duties and responsibilities.|JP00012|System Administrator|Summary: System Administrator position|WID00000012|System Administrator|MLM|Manager|Hourly|True|True|MATRIX_HR_M4|True|True|Biweekly
00|Y|Y|False|CAT3|Manager|Non-Exempt|Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|M5|Level M5|JPC0013|This is the job description for Data Analyst. Responsible for key duties and responsibilities.|JP00013|Data Analyst|Summary: Data Analyst position|WID00000013|Data Analyst|MLM|Manager|Hourly|False|True|MATRIX_SAL_M5|False|True|Biweekly
00|N|N|False|CAT4|Executive|Non-Exempt|Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|IC5|Level IC5|JPC0014|This is the job description for Finance Manager. Responsible for key duties and responsibilities.|JP00014|Finance Manager|Summary: Finance Manager position|WID00000014|Finance Manager|MLI|Individual Contributor|Salary|True|True|MATRIX_SAL_IC5|False|False|Biweekly
00|Y|Y|False|CAT5|Individual Contributor|Exempt|Exempt|MKTG|JFG_MKTG|Job Family Group MKTG|Family MKTG|IC1|Level IC1|JPC0015|This is the job description for Marketing Manager. Responsible for key duties and responsibilities.|JP00015|Marketing Manager|Summary: Marketing Manager position|WID00000015|Marketing Manager|MLI|Individual Contributor|Salary|True|True|MATRIX_MKTG_IC1|False|False|Biweekly
00|N|N|False|CAT1|Manager|Exempt|Non-Exempt|MKTG|JFG_MKTG|Job Family Group MKTG|Family MKTG|IC2|Level IC2|JPC0016|This is the job description for Sales Executive. Responsible for key duties and responsibilities.|JP00016|Sales Executive|Summary: Sales Executive position|WID00000016|Sales Executive|MLI|Individual Contributor|Salary|False|False|MATRIX_MKTG_IC2|False|False|Biweekly
00|N|N|False|CAT2|Director|Non-Exempt|Non-Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|IC2|Level IC2|JPC0017|This is the job description for Data Analyst. Responsible for key duties and responsibilities.|JP00017|Data Analyst|Summary: Data Analyst position|WID00000017|Data Analyst|MLI|Individual Contributor|Salary|True|True|MATRIX_SAL_IC2|False|False|Biweekly
00|Y|Y|False|CAT3|Executive|Non-Exempt|Exempt|LEGAL|JFG_LEGAL|Job Family Group LEGAL|Family LEGAL|M1|Level M1|JPC0018|This is the job description for System Administrator. Responsible for key duties and responsibilities.|JP00018|System Administrator|Summary: System Administrator position|WID00000018|System Administrator|MLM|Manager|Hourly|True|False|MATRIX_LEGAL_M1|True|True|Biweekly
00|N|Y|False|CAT4|Individual Contributor|Exempt|Exempt|IT|JFG_IT|Job Family Group IT|Family IT|IC4|Level IC4|JPC0019|This is the job description for Network Engineer. Responsible for key duties and responsibilities.|JP00019|Network Engineer|Summary: Network Engineer position|WID00000019|Network Engineer|MLI|Individual Contributor|Salary|True|False|MATRIX_IT_IC4|False|False|Biweekly
00|Y|N|False|CAT5|Individual Contributor|Non-Exempt|Non-Exempt|IT|JFG_IT|Job Family Group IT|Family IT|M3|Level M3|JPC0020|This is the job description for Product Manager. Responsible for key duties and responsibilities.|JP00020|Product Manager|Summary: Product Manager position|WID00000020|Product Manager|MLM|Manager|Hourly|False|False|MATRIX_IT_M3|True|True|Biweekly
00|Y|Y|False|CAT1|Executive|Exempt|Non-Exempt|IT|JFG_IT|Job Family Group IT|Family IT|IC3|Level IC3|JPC0021|This is the job description for Product Manager. Responsible for key duties and responsibilities.|JP00021|Product Manager|Summary: Product Manager position|WID00000021|Product Manager|MLI|Individual Contributor|Salary|True|False|MATRIX_IT_IC3|False|False|Biweekly
00|Y|Y|False|CAT2|Executive|Exempt|Exempt|HR|JFG_HR|Job Family Group HR|Family HR|IC1|Level IC1|JPC0022|This is the job description for Sales Executive. Responsible for key duties and responsibilities.|JP00022|Sales Executive|Summary: Sales Executive position|WID00000022|Sales Executive|MLI|Individual Contributor|Hourly|True|True|MATRIX_HR_IC1|False|False|Biweekly
00|N|N|False|CAT3|Manager|Non-Exempt|Exempt|ENG|JFG_ENG|Job Family Group ENG|Family ENG|M5|Level M5|JPC0023|This is the job description for Data Analyst. Responsible for key duties and responsibilities.|JP00023|Data Analyst|Summary: Data Analyst position|WID00000023|Data Analyst|MLM|Manager|Hourly|False|True|MATRIX_ENG_M5|True|True|Biweekly
00|Y|N|False|CAT4|Executive|Exempt|Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|M3|Level M3|JPC0024|This is the job description for Accountant. Responsible for key duties and responsibilities.|JP00024|Accountant|Summary: Accountant position|WID00000024|Accountant|MLM|Manager|Salary|False|True|MATRIX_OPS_M3|True|True|Biweekly
00|N|N|False|CAT5|Manager|Non-Exempt|Non-Exempt|MKTG|JFG_MKTG|Job Family Group MKTG|Family MKTG|IC2|Level IC2|JPC0025|This is the job description for Security Analyst. Responsible for key duties and responsibilities.|JP00025|Security Analyst|Summary: Security Analyst position|WID00000025|Security Analyst|MLI|Individual Contributor|Salary|False|True|MATRIX_MKTG_IC2|False|False|Biweekly
00|Y|N|False|CAT1|Senior Manager|Exempt|Non-Exempt|HR|JFG_HR|Job Family Group HR|Family HR|IC5|Level IC5|JPC0026|This is the job description for Data Analyst. Responsible for key duties and responsibilities.|JP00026|Data Analyst|Summary: Data Analyst position|WID00000026|Data Analyst|MLI|Individual Contributor|Salary|False|False|MATRIX_HR_IC5|False|False|Biweekly
00|N|N|False|CAT2|Individual Contributor|Exempt|Non-Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|IC1|Level IC1|JPC0027|This is the job description for Data Analyst. Responsible for key duties and responsibilities.|JP00027|Data Analyst|Summary: Data Analyst position|WID00000027|Data Analyst|MLI|Individual Contributor|Salary|False|True|MATRIX_OPS_IC1|False|False|Biweekly
00|Y|Y|False|CAT3|Manager|Exempt|Non-Exempt|IT|JFG_IT|Job Family Group IT|Family IT|M4|Level M4|JPC0028|This is the job description for Quality Assurance. Responsible for key duties and responsibilities.|JP00028|Quality Assurance|Summary: Quality Assurance position|WID00000028|Quality Assurance|MLM|Manager|Salary|False|True|MATRIX_IT_M4|True|True|Biweekly
00|N|Y|False|CAT4|Manager|Exempt|Non-Exempt|ENG|JFG_ENG|Job Family Group ENG|Family ENG|IC5|Level IC5|JPC0029|This is the job description for Accountant. Responsible for key duties and responsibilities.|JP00029|Accountant|Summary: Accountant position|WID00000029|Accountant|MLI|Individual Contributor|Hourly|True|True|MATRIX_ENG_IC5|False|False|Biweekly
00|Y|Y|False|CAT5|Senior Manager|Non-Exempt|Exempt|HR|JFG_HR|Job Family Group HR|Family HR|IC3|Level IC3|JPC0030|This is the job description for Security Analyst. Responsible for key duties and responsibilities.|JP00030|Security Analyst|Summary: Security Analyst position|WID00000030|Security Analyst|MLI|Individual Contributor|Hourly|True|True|MATRIX_HR_IC3|False|False|Biweekly
00|Y|Y|False|CAT1|Director|Non-Exempt|Non-Exempt|LEGAL|JFG_LEGAL|Job Family Group LEGAL|Family LEGAL|IC1|Level IC1|JPC0031|This is the job description for Network Engineer. Responsible for key duties and responsibilities.|JP00031|Network Engineer|Summary: Network Engineer position|WID00000031|Network Engineer|MLI|Individual Contributor|Salary|True|True|MATRIX_LEGAL_IC1|False|False|Biweekly
00|N|N|False|CAT2|Executive|Non-Exempt|Non-Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|M2|Level M2|JPC0032|This is the job description for Accountant. Responsible for key duties and responsibilities.|JP00032|Accountant|Summary: Accountant position|WID00000032|Accountant|MLM|Manager|Salary|True|False|MATRIX_SAL_M2|False|True|Biweekly
00|N|N|False|CAT3|Senior Manager|Non-Exempt|Exempt|HR|JFG_HR|Job Family Group HR|Family HR|M5|Level M5|JPC0033|This is the job description for Business Analyst. Responsible for key duties and responsibilities.|JP00033|Business Analyst|Summary: Business Analyst position|WID00000033|Business Analyst|MLM|Manager|Hourly|True|False|MATRIX_HR_M5|False|True|Biweekly
00|Y|N|False|CAT4|Director|Exempt|Non-Exempt|ENG|JFG_ENG|Job Family Group ENG|Family ENG|M2|Level M2|JPC0034|This is the job description for Software Engineer. Responsible for key duties and responsibilities.|JP00034|Software Engineer|Summary: Software Engineer position|WID00000034|Software Engineer|MLM|Manager|Hourly|True|False|MATRIX_ENG_M2|True|True|Biweekly
00|Y|Y|False|CAT5|Director|Non-Exempt|Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|M2|Level M2|JPC0035|This is the job description for Accountant. Responsible for key duties and responsibilities.|JP00035|Accountant|Summary: Accountant position|WID00000035|Accountant|MLM|Manager|Hourly|False|True|MATRIX_OPS_M2|True|True|Biweekly
00|N|N|False|CAT1|Director|Non-Exempt|Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|IC5|Level IC5|JPC0036|This is the job description for Product Manager. Responsible for key duties and responsibilities.|JP00036|Product Manager|Summary: Product Manager position|WID00000036|Product Manager|MLI|Individual Contributor|Hourly|True|True|MATRIX_OPS_IC5|False|False|Biweekly
00|Y|Y|False|CAT2|Senior Manager|Exempt|Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|M4|Level M4|JPC0037|This is the job description for Operations Manager. Responsible for key duties and responsibilities.|JP00037|Operations Manager|Summary: Operations Manager position|WID00000037|Operations Manager|MLM|Manager|Salary|True|True|MATRIX_OPS_M4|True|True|Biweekly
00|N|N|False|CAT3|Executive|Exempt|Non-Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|M3|Level M3|JPC0038|This is the job description for Marketing Manager. Responsible for key duties and responsibilities.|JP00038|Marketing Manager|Summary: Marketing Manager position|WID00000038|Marketing Manager|MLM|Manager|Hourly|False|True|MATRIX_SAL_M3|True|True|Biweekly
00|Y|N|False|CAT4|Manager|Exempt|Non-Exempt|HR|JFG_HR|Job Family Group HR|Family HR|IC1|Level IC1|JPC0039|This is the job description for Security Analyst. Responsible for key duties and responsibilities.|JP00039|Security Analyst|Summary: Security Analyst position|WID00000039|Security Analyst|MLI|Individual Contributor|Salary|True|True|MATRIX_HR_IC1|False|False|Biweekly
00|N|N|False|CAT5|Executive|Non-Exempt|Non-Exempt|IT|JFG_IT|Job Family Group IT|Family IT|IC3|Level IC3|JPC0040|This is the job description for System Administrator. Responsible for key duties and responsibilities.|JP00040|System Administrator|Summary: System Administrator position|WID00000040|System Administrator|MLI|Individual Contributor|Salary|False|False|MATRIX_IT_IC3|False|False|Biweekly
00|N|N|False|CAT1|Manager|Non-Exempt|Non-Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|IC4|Level IC4|JPC0041|This is the job description for Network Engineer. Responsible for key duties and responsibilities.|JP00041|Network Engineer|Summary: Network Engineer position|WID00000041|Network Engineer|MLI|Individual Contributor|Salary|False|True|MATRIX_OPS_IC4|False|False|Biweekly
00|Y|Y|False|CAT2|Manager|Non-Exempt|Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|M1|Level M1|JPC0042|This is the job description for Accountant. Responsible for key duties and responsibilities.|JP00042|Accountant|Summary: Accountant position|WID00000042|Accountant|MLM|Manager|Salary|True|False|MATRIX_OPS_M1|True|True|Biweekly
00|Y|N|False|CAT3|Director|Exempt|Non-Exempt|LEGAL|JFG_LEGAL|Job Family Group LEGAL|Family LEGAL|M1|Level M1|JPC0043|This is the job description for Sales Executive. Responsible for key duties and responsibilities.|JP00043|Sales Executive|Summary: Sales Executive position|WID00000043|Sales Executive|MLM|Manager|Hourly|True|False|MATRIX_LEGAL_M1|True|True|Biweekly
00|Y|N|False|CAT4|Manager|Non-Exempt|Non-Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|M2|Level M2|JPC0044|This is the job description for Network Engineer. Responsible for key duties and responsibilities.|JP00044|Network Engineer|Summary: Network Engineer position|WID00000044|Network Engineer|MLM|Manager|Hourly|True|False|MATRIX_OPS_M2|True|True|Biweekly
00|Y|Y|False|CAT5|Director|Exempt|Exempt|MKTG|JFG_MKTG|Job Family Group MKTG|Family MKTG|M2|Level M2|JPC0045|This is the job description for Quality Assurance. Responsible for key duties and responsibilities.|JP00045|Quality Assurance|Summary: Quality Assurance position|WID00000045|Quality Assurance|MLM|Manager|Hourly|True|False|MATRIX_MKTG_M2|False|True|Biweekly
00|N|Y|False|CAT1|Director|Non-Exempt|Non-Exempt|HR|JFG_HR|Job Family Group HR|Family HR|IC1|Level IC1|JPC0046|This is the job description for Business Analyst. Responsible for key duties and responsibilities.|JP00046|Business Analyst|Summary: Business Analyst position|WID00000046|Business Analyst|MLI|Individual Contributor|Hourly|False|False|MATRIX_HR_IC1|False|False|Biweekly
00|Y|N|False|CAT2|Manager|Exempt|Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|IC2|Level IC2|JPC0047|This is the job description for HR Manager. Responsible for key duties and responsibilities.|JP00047|HR Manager|Summary: HR Manager position|WID00000047|HR Manager|MLI|Individual Contributor|Salary|True|True|MATRIX_OPS_IC2|False|False|Biweekly
00|Y|Y|False|CAT3|Director|Non-Exempt|Non-Exempt|ENG|JFG_ENG|Job Family Group ENG|Family ENG|M5|Level M5|JPC0048|This is the job description for Project Manager. Responsible for key duties and responsibilities.|JP00048|Project Manager|Summary: Project Manager position|WID00000048|Project Manager|MLM|Manager|Salary|True|True|MATRIX_ENG_M5|False|True|Biweekly
00|N|N|False|CAT4|Director|Exempt|Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|IC2|Level IC2|JPC0049|This is the job description for Marketing Manager. Responsible for key duties and responsibilities.|JP00049|Marketing Manager|Summary: Marketing Manager position|WID00000049|Marketing Manager|MLI|Individual Contributor|Salary|True|False|MATRIX_OPS_IC2|False|False|Biweekly
00|N|N|False|CAT5|Individual Contributor|Non-Exempt|Exempt|FIN|JFG_FIN|Job Family Group FIN|Family FIN|M5|Level M5|JPC0050|This is the job description for System Administrator. Responsible for key duties and responsibilities.|JP00050|System Administrator|Summary: System Administrator position|WID00000050|System Administrator|MLM|Manager|Hourly|False|True|MATRIX_FIN_M5|False|True|Biweekly
00|Y|N|False|CAT1|Manager|Non-Exempt|Non-Exempt|LEGAL|JFG_LEGAL|Job Family Group LEGAL|Family LEGAL|M1|Level M1|JPC0051|This is the job description for Operations Manager. Responsible for key duties and responsibilities.|JP00051|Operations Manager|Summary: Operations Manager position|WID00000051|Operations Manager|MLM|Manager|Hourly|False|False|MATRIX_LEGAL_M1|True|True|Biweekly
00|N|N|False|CAT2|Manager|Non-Exempt|Non-Exempt|MKTG|JFG_MKTG|Job Family Group MKTG|Family MKTG|IC4|Level IC4|JPC0052|This is the job description for Network Engineer. Responsible for key duties and responsibilities.|JP00052|Network Engineer|Summary: Network Engineer position|WID00000052|Network Engineer|MLI|Individual Contributor|Hourly|True|False|MATRIX_MKTG_IC4|False|False|Biweekly
00|N|N|False|CAT3|Senior Manager|Non-Exempt|Non-Exempt|MKTG|JFG_MKTG|Job Family Group MKTG|Family MKTG|IC3|Level IC3|JPC0053|This is the job description for HR Manager. Responsible for key duties and responsibilities.|JP00053|HR Manager|Summary: HR Manager position|WID00000053|HR Manager|MLI|Individual Contributor|Salary|True|True|MATRIX_MKTG_IC3|False|False|Biweekly
00|N|N|False|CAT4|Director|Exempt|Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|M2|Level M2|JPC0054|This is the job description for HR Manager. Responsible for key duties and responsibilities.|JP00054|HR Manager|Summary: HR Manager position|WID00000054|HR Manager|MLM|Manager|Hourly|True|False|MATRIX_SAL_M2|True|True|Biweekly
00|N|N|False|CAT5|Executive|Non-Exempt|Non-Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|IC5|Level IC5|JPC0055|This is the job description for Operations Manager. Responsible for key duties and responsibilities.|JP00055|Operations Manager|Summary: Operations Manager position|WID00000055|Operations Manager|MLI|Individual Contributor|Hourly|False|False|MATRIX_SAL_IC5|False|False|Biweekly
00|Y|Y|False|CAT1|Senior Manager|Exempt|Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|IC5|Level IC5|JPC0056|This is the job description for Business Analyst. Responsible for key duties and responsibilities.|JP00056|Business Analyst|Summary: Business Analyst position|WID00000056|Business Analyst|MLI|Individual Contributor|Salary|True|False|MATRIX_OPS_IC5|False|False|Biweekly
00|Y|Y|False|CAT2|Senior Manager|Exempt|Non-Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|M5|Level M5|JPC0057|This is the job description for System Administrator. Responsible for key duties and responsibilities.|JP00057|System Administrator|Summary: System Administrator position|WID00000057|System Administrator|MLM|Manager|Salary|False|True|MATRIX_OPS_M5|True|True|Biweekly
00|N|Y|False|CAT3|Director|Exempt|Exempt|HR|JFG_HR|Job Family Group HR|Family HR|IC5|Level IC5|JPC0058|This is the job description for Software Engineer. Responsible for key duties and responsibilities.|JP00058|Software Engineer|Summary: Software Engineer position|WID00000058|Software Engineer|MLI|Individual Contributor|Hourly|False|False|MATRIX_HR_IC5|False|False|Biweekly
00|N|Y|False|CAT4|Individual Contributor|Non-Exempt|Non-Exempt|IT|JFG_IT|Job Family Group IT|Family IT|M1|Level M1|JPC0059|This is the job description for Project Manager. Responsible for key duties and responsibilities.|JP00059|Project Manager|Summary: Project Manager position|WID00000059|Project Manager|MLM|Manager|Salary|True|True|MATRIX_IT_M1|True|True|Biweekly
00|Y|N|False|CAT5|Executive|Exempt|Non-Exempt|HR|JFG_HR|Job Family Group HR|Family HR|M5|Level M5|JPC0060|This is the job description for Business Analyst. Responsible for key duties and responsibilities.|JP00060|Business Analyst|Summary: Business Analyst position|WID00000060|Business Analyst|MLM|Manager|Hourly|False|False|MATRIX_HR_M5|False|True|Biweekly
00|Y|Y|False|CAT1|Manager|Exempt|Non-Exempt|LEGAL|JFG_LEGAL|Job Family Group LEGAL|Family LEGAL|IC5|Level IC5|JPC0061|This is the job description for Marketing Manager. Responsible for key duties and responsibilities.|JP00061|Marketing Manager|Summary: Marketing Manager position|WID00000061|Marketing Manager|MLI|Individual Contributor|Salary|True|True|MATRIX_LEGAL_IC5|False|False|Biweekly
00|N|N|False|CAT2|Senior Manager|Exempt|Exempt|HR|JFG_HR|Job Family Group HR|Family HR|M4|Level M4|JPC0062|This is the job description for Data Analyst. Responsible for key duties and responsibilities.|JP00062|Data Analyst|Summary: Data Analyst position|WID00000062|Data Analyst|MLM|Manager|Hourly|False|False|MATRIX_HR_M4|False|True|Biweekly
00|Y|N|False|CAT3|Individual Contributor|Exempt|Exempt|FIN|JFG_FIN|Job Family Group FIN|Family FIN|IC4|Level IC4|JPC0063|This is the job description for Security Analyst. Responsible for key duties and responsibilities.|JP00063|Security Analyst|Summary: Security Analyst position|WID00000063|Security Analyst|MLI|Individual Contributor|Hourly|True|True|MATRIX_FIN_IC4|False|False|Biweekly
00|N|N|False|CAT4|Individual Contributor|Non-Exempt|Non-Exempt|ENG|JFG_ENG|Job Family Group ENG|Family ENG|IC3|Level IC3|JPC0064|This is the job description for System Administrator. Responsible for key duties and responsibilities.|JP00064|System Administrator|Summary: System Administrator position|WID00000064|System Administrator|MLI|Individual Contributor|Hourly|False|False|MATRIX_ENG_IC3|False|False|Biweekly
00|N|N|False|CAT5|Executive|Non-Exempt|Exempt|IT|JFG_IT|Job Family Group IT|Family IT|IC2|Level IC2|JPC0065|This is the job description for Marketing Manager. Responsible for key duties and responsibilities.|JP00065|Marketing Manager|Summary: Marketing Manager position|WID00000065|Marketing Manager|MLI|Individual Contributor|Salary|True|True|MATRIX_IT_IC2|False|False|Biweekly
